unique_trip_code,start_date,end_date,pairing_length,flight_count_by_day,airport_by_day,flight_time,duty_time,credit,fatigue_unit,usd_meals,cad_meals
C7035,24,26,3,3-3-3,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'DCA'), ('DCA', 'YYZ')]), ('Day 2', [('YYZ', 'DCA'), ('DCA', 'YYZ'), ('YYZ', 'YUL')]), ('Day 3', [('YUL', 'LGA'), ('LGA', 'YUL'), ('YUL', 'YYC')])]",64.59,32.29,16.16,40.29,0.00,296.24
C7036,26,28,3,3-3-3,"[('Day 1', [('YYC', 'YOW'), ('YOW', 'YUL'), ('YUL', 'RDU')]), ('Day 2', [('RDU', 'YYZ'), ('YYZ', 'YSJ'), ('YSJ', 'YYZ')]), ('Day 3', [('YYZ', 'CVG'), ('CVG', 'YYZ'), ('YYZ', 'YYC')])]",64.29,33.33,17.28,41.33,80.08,216.16
C7037,27,29,3,2-2-2,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YQR')]), ('Day 2', [('YQR', 'YVR'), ('YVR', 'YQR')]), ('Day 3', [('YQR', 'YVR'), ('YVR', 'YYC')])]",53.29,21.21,13.34,26.21,0.00,271.26
C7038,29,31,3,3-2-2,"[('Day 1', [('YYC', 'YOW'), ('YOW', 'YUL'), ('YUL', 'ORD')]), ('Day 2', [('ORD', 'YUL'), ('YUL', 'DCA')]), ('Day 3', [('DCA', 'YUL'), ('YUL', 'YYC')])]",63.59,27.4,16.0,33.4,210.12,86.12
C7039,29,31,3,2-3-1,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YQR')]), ('Day 2', [('YQR', 'YVR'), ('YVR', 'YYC'), ('YYC', 'YWG')]), ('Day 3', [('YWG', 'YYC')])]",47.24,20.23,14.22,25.23,0.00,231.63
C7040,30,32,3,3-3-3,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'CVG'), ('CVG', 'YYZ')]), ('Day 2', [('YYZ', 'CVG'), ('CVG', 'YYZ'), ('YYZ', 'YUL')]), ('Day 3', [('YUL', 'YQB'), ('YQB', 'YUL'), ('YUL', 'YYC')])]",64.59,32.01,16.15,40.01,0.00,296.24
C7041,30,32,3,1-3-3,"[('Day 1', [('YYC', 'YWG')]), ('Day 2', [('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'YWG')]), ('Day 3', [('YWG', 'YOW'), ('YOW', 'YUL'), ('YUL', 'YYC')])]",52.44,27.02,16.2,32.02,0.00,296.24
C7042,31,33,3,3-3-2,"[('Day 1', [('YYC', 'YVR'), ('YVR', 'YYC'), ('YYC', 'YWG')]), ('Day 2', [('YWG', 'YYC'), ('YYC', 'YVR'), ('YVR', 'YZF')]), ('Day 3', [('YZF', 'YVR'), ('YVR', 'YYC')])]",54.54,26.56,14.55,33.56,0.00,256.61
C7043,02,5,4,2-2-4-2,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'STL')]), ('Day 2', [('STL', 'YUL'), ('YUL', 'STL')]), ('Day 3', [('STL', 'YYZ'), ('YYZ', 'YQG'), ('YQG', 'YYZ'), ('YYZ', 'MSP')]), ('Day 4', [('MSP', 'YYZ'), ('YYZ', 'YYC')])]",77.15,36.34,20.21,45.34,290.20,71.47
C7044,03,6,4,2-2-2-1,"[('Day 1', [('YYC', 'YYZ'), ('YYZ', 'STL')]), ('Day 2', [('STL', 'YUL'), ('YUL', 'STL')]), ('Day 3', [('STL', 'YYZ'), ('YYZ', 'YWG')]), ('Day 4', [('YWG', 'YYC')])]",69.27,27.17,18.47,33.17,185.14,151.55
